time,open,high,low,close,Previous Day High,Previous Day Low,Previous Day Mid,Pivot Point (P),SMA 9,SMA 20,EMA 9,VWAP,SMA9 &gt; SMA20,SMA9 &lt; SMA20,EMA9 &gt; SMA20,EMA9 &lt; SMA20,Volume,instrument
2025-03-27 16:08:00-04:00,481.89,481.89,481.82,481.86,493.16,482.82,487.99,486.7866666666667,481.8456444444438,481.9577899999993,481.8842596579777,483.2997678037232,0,0,0,0,3518,QQQ
2025-03-27 16:09:00-04:00,481.84,481.88,481.79,481.79,493.16,482.82,487.99,486.7866666666667,481.8333333333328,481.8782899999993,481.86540772638216,483.2992798172309,0,0,0,0,7640,QQQ
2025-03-27 16:10:00-04:00,481.8,481.92,481.76,481.92,493.16,482.82,487.99,486.7866666666667,481.85888888888826,481.8492899999992,481.87632618110575,483.2988380581341,1,0,1,0,7573,QQQ
2025-03-27 16:11:00-04:00,481.95,482.0,481.9,481.9,493.16,482.82,487.99,486.7866666666667,481.8777777777771,481.8387899999992,481.8810609448846,483.298518013344,0,0,0,0,5411,QQQ
2025-03-27 16:12:00-04:00,481.81,481.82,481.76,481.82,493.16,482.82,487.99,486.7866666666667,481.876666666666,481.8337899999992,481.86884875590766,483.2982748654108,0,0,0,0,3890,QQQ
2025-03-27 16:13:00-04:00,481.83,481.88,481.81,481.87,493.16,482.82,487.99,486.7866666666667,481.8777777777771,481.8577899999992,481.8690790047261,483.29799094619045,0,0,0,0,4703,QQQ
2025-03-27 16:14:00-04:00,481.87,481.87,481.79,481.82,493.16,482.82,487.99,486.7866666666667,481.86888888888825,481.8547899999992,481.8592632037809,483.2946180947149,0,0,0,0,54114,QQQ
2025-03-27 16:15:00-04:00,481.86,481.86,481.86,481.86,493.16,482.82,487.99,486.7866666666667,481.8555555555548,481.8477899999992,481.8594105630248,483.2945817959061,0,0,0,0,600,QQQ
2025-03-27 16:16:00-04:00,481.66,481.7,481.65,481.66,493.16,482.82,487.99,486.7866666666667,481.83333333333263,481.83153999999934,481.8195284504198,483.29278145502377,0,0,0,1,26147,QQQ
2025-03-27 16:17:00-04:00,481.67,481.7,481.6,481.7,493.16,482.82,487.99,486.7866666666667,481.81555555555485,481.8190399999992,481.7956227603359,483.2921093246788,0,1,0,0,10022,QQQ
2025-03-27 16:18:00-04:00,481.66,481.66,481.61,481.61,493.16,482.82,487.99,486.7866666666667,481.7955555555548,481.80703999999935,481.7584982082687,483.2916720833647,0,0,0,0,6175,QQQ
2025-03-27 16:19:00-04:00,481.63,481.68,481.63,481.68,493.16,482.82,487.99,486.7866666666667,481.76888888888817,481.81203999999934,481.74279856661497,483.290858985281,0,0,0,0,11991,QQQ
2025-03-27 16:20:00-04:00,481.68,481.7,481.65,481.65,493.16,482.82,487.99,486.7866666666667,481.7411111111104,481.79949999999934,481.724238853292,483.29025175323966,0,0,0,0,8799,QQQ
2025-03-27 16:21:00-04:00,481.67,481.67,481.57,481.5893,493.16,482.82,487.99,486.7866666666667,481.7154777777771,481.7944649999993,481.6972510826336,483.2898496567686,0,0,0,0,5622,QQQ
2025-03-27 16:22:00-04:00,481.54,481.54,481.48,481.48,493.16,482.82,487.99,486.7866666666667,481.6721444444437,481.7819649999994,481.6538008661069,483.28962374133147,0,0,0,0,2969,QQQ
2025-03-27 16:23:00-04:00,481.48,481.62,481.48,481.62,493.16,482.82,487.99,486.7866666666667,481.6499222222215,481.77146499999935,481.6470406928855,483.28950427643736,0,0,0,0,1702,QQQ
2025-03-27 16:24:00-04:00,481.64,481.66,481.63,481.66,493.16,482.82,487.99,486.7866666666667,481.6276999999993,481.7614649999993,481.6496325543084,483.2893522111512,0,0,0,0,2220,QQQ
2025-03-27 16:25:00-04:00,481.65,481.66,481.65,481.66,493.16,482.82,487.99,486.7866666666667,481.6276999999993,481.7494649999993,481.6517060434467,483.2893179661288,0,0,0,0,500,QQQ
2025-03-27 16:26:00-04:00,481.67,481.77,481.67,481.71,493.16,482.82,487.99,486.7866666666667,481.6288111111105,481.7359649999993,481.6633648347574,483.2888367417656,0,0,0,0,7251,QQQ
2025-03-27 16:27:00-04:00,481.7295,481.77,481.7295,481.73,493.16,482.82,487.99,486.7866666666667,481.6421444444438,481.7294649999993,481.6766918678059,483.2884468823635,0,0,0,0,5953,QQQ
2025-03-27 16:28:00-04:00,481.73,481.8,481.73,481.8,493.16,482.82,487.99,486.7866666666667,481.6554777777771,481.7264649999994,481.7013534942448,483.2880332832128,0,0,0,0,6616,QQQ
2025-03-27 16:30:00-04:00,481.79,481.83,481.79,481.83,493.16,482.82,487.99,486.7866666666667,481.67547777777713,481.72846499999935,481.7270827953958,483.2878990015004,0,0,0,0,2193,QQQ
2025-03-27 16:31:00-04:00,481.77,481.8,481.77,481.8,493.16,482.82,487.99,486.7866666666667,481.6988888888883,481.7224649999994,481.74166623631663,483.2878396419596,0,0,1,0,950,QQQ
2025-03-27 16:32:00-04:00,481.8,481.81,481.8,481.81,493.16,482.82,487.99,486.7866666666667,481.7355555555549,481.71796499999937,481.7553329890533,483.2877777073895,1,0,0,0,998,QQQ
2025-03-27 16:33:00-04:00,481.81,481.84,481.81,481.83,493.16,482.82,487.99,486.7866666666667,481.7588888888882,481.7184649999993,481.7702663912426,483.2876466552241,0,0,0,0,2141,QQQ
2025-03-27 16:34:00-04:00,481.78,481.81,481.78,481.81,493.16,482.82,487.99,486.7866666666667,481.7755555555549,481.7154649999993,481.7782131129941,483.2874588688615,0,0,0,0,3027,QQQ
2025-03-27 16:35:00-04:00,481.82,481.85,481.82,481.85,493.16,482.82,487.99,486.7866666666667,481.79666666666606,481.7169649999993,481.7925704903953,483.2873075272806,0,0,0,0,2508,QQQ
2025-03-27 16:36:00-04:00,481.86,481.96,481.86,481.8901,493.16,482.82,487.99,486.7866666666667,481.8166777777772,481.71846999999934,481.8120763923162,483.2869749806948,0,0,0,0,5671,QQQ
2025-03-27 16:37:00-04:00,481.9185,481.96,481.9,481.96,493.16,482.82,487.99,486.7866666666667,481.8422333333326,481.7334699999994,481.841661113853,483.28670487264446,0,0,0,0,4851,QQQ
2025-03-27 16:38:00-04:00,481.94,481.94,481.93,481.93,493.16,482.82,487.99,486.7866666666667,481.8566777777771,481.74496999999946,481.8593288910824,483.28666502394174,0,0,0,0,700,QQQ
2025-03-27 16:39:00-04:00,481.94,481.95,481.94,481.95,493.16,482.82,487.99,486.7866666666667,481.8700111111105,481.7619699999994,481.8774631128659,483.2865598151589,0,0,0,0,1876,QQQ
2025-03-27 16:40:00-04:00,481.96,482.02,481.96,482.01,493.16,482.82,487.99,486.7866666666667,481.8933444444439,481.7784699999994,481.9039704902927,483.2859514533338,0,0,0,0,11364,QQQ
2025-03-27 16:41:00-04:00,482.02,482.03,482.0,482.0,493.16,482.82,487.99,486.7866666666667,481.9144555555549,481.7959699999994,481.92317639223415,483.2855836618919,0,0,0,0,6822,QQQ
2025-03-27 16:42:00-04:00,482.0,482.05,482.0,482.05,493.16,482.82,487.99,486.7866666666667,481.9388999999994,481.8190049999994,481.9485411137873,483.2854299876725,0,0,0,0,2967,QQQ
2025-03-27 16:43:00-04:00,482.06,482.07,482.03,482.05,493.16,482.82,487.99,486.7866666666667,481.96556666666606,481.8475049999994,481.9688328910299,483.2853059677745,0,0,0,0,2395,QQQ
2025-03-27 16:44:00-04:00,482.05,482.07,482.04,482.04,493.16,482.82,487.99,486.7866666666667,481.9866777777772,481.86850499999946,481.9830663128239,483.2852068017739,0,0,0,0,1900,QQQ
2025-03-27 16:45:00-04:00,482.04,482.1,482.04,482.09,493.16,482.82,487.99,486.7866666666667,482.0088888888883,481.8900049999994,482.0044530502591,483.2848469425676,0,0,0,0,7186,QQQ
2025-03-27 16:46:00-04:00,482.1,482.15,482.1,482.11,493.16,482.82,487.99,486.7866666666667,482.025555555555,481.9125049999994,482.0255624402073,483.2847122790513,0,0,0,0,2736,QQQ
2025-03-27 16:47:00-04:00,482.13,482.16,482.13,482.16,493.16,482.82,487.99,486.7866666666667,482.0511111111106,481.9350049999995,482.0524499521658,483.2845789958297,0,0,0,0,2829,QQQ
